complaint_id,txn_id,user_id,merchant_id,disputed_amount,reason_code,reason_category,complaint_text,resolution_status,severity,channel,reported_timestamp,transaction_timestamp,bank_response_timestamp,disputed_amount_missing,disputed_amount_negative,txn_id_missing,reported_ts_missing,txn_ts_missing,bank_response_missing,reported_before_txn,complaint_id_duplicate
CBK0000361,TXN00012527,USR24926,MCH7438,2311.0,Duplicate Debit,DUPLICATE_DEBIT,User claims account was compromised before transaction.,CLOSED,LOW,IVR,2026-02-16 18:13:57,2026-02-14 00:00:00,,False,False,False,False,False,True,False,False
CBK0002544,TXN00018727,USR27888,MCH5076,10161.06,delivery issue,SERVICE_NOT_DELIVERED,merchant service was not delivered after payment.,OPEN,HIGH,CHATBOT,2026-03-25 00:00:00,2026-03-20 01:26:11,2026-04-24 20:26:11,False,False,False,False,False,False,False,False
CBK0000430,TXN00018881,USR47299,MCH3382,2108.9,fraud,FRAUD,Merchant service was not delivered after payment. urgent,IN_PROGRESS,HIGH,IVR,2026-02-26 00:00:00,2026-02-11 03:20:31,2026-03-23 06:20:31,False,False,False,False,False,False,False,False
CBK0001264,TXN00008143,USR92737,MCH4183,240.64,unauth txn,UNAUTHORIZED,Merchant service was not delivered after payment.,OPEN,LOW,IVR,2026-03-25 22:21:00,2026-03-22 17:21:29,,False,False,False,False,False,True,False,False
CBK0001919,TXN00005826,USR72795,MCH2259,1770.58,login compromised,ACCOUNT_TAKEOVER,Merchant service was not delivered after payment.,REJECTED,CRITICAL,IVR,2026-02-04 14:03:00,2026-01-31 00:00:00,2026-02-08 00:00:00,False,False,False,False,False,False,False,False
CBK0000069,TXN00002744,USR21384,MCH4252,840.07,delivery issue,SERVICE_NOT_DELIVERED,USER CLAIMS ACCOUNT WAS COMPROMISED BEFORE TRANSACTION.,IN_PROGRESS,CRITICAL,EMAIL,,2026-01-15 01:24:40,2026-02-11 00:00:00,False,False,False,True,False,False,False,False
CBK0001760,TXN00017025,USR79110,MCH1320,,FRAUD,FRAUD,user says upi pin was not entered by them.,RESOLVED,LOW,IVR,2026-03-24 23:17:18,,,True,False,False,False,True,True,False,False
CBK0002232,TXN00009269,USR99886,MCH1941,385.53,Merchant Not Delivered,SERVICE_NOT_DELIVERED,Payment made to unknown merchant as per customer statement.,CLOSED,MEDIUM,CHATBOT,2026-01-29 17:24:45,2026-01-26 19:24:45,,False,False,False,False,False,True,False,False
CBK0002798,TXN00066039,USR24087,MCH6965,1372.0,Service Not Provided,SERVICE_NOT_DELIVERED,User reports money deducted but merchant denies receiving payment.,RESOLVED,LOW,CHATBOT,2026-01-22 06:27:51,2026-01-14 00:00:00,2026-02-09 00:00:00,False,False,False,False,False,False,False,False
CBK0000080,TXN00007630,USR70905,MCH7833,963.14,Duplicate Debit,DUPLICATE_DEBIT,user claims account was compromised before transaction.,IN_PROGRESS,LOW,BRANCH,2026-01-12 06:35:00,2026-01-11 19:35:00,2026-01-24 00:00:00,False,False,False,False,False,False,False,False
CBK0000789,TXN00006632,USR56899,MCH7296,4124.85,fraud,FRAUD,Merchant service was not delivered after payment.,IN_PROGRESS,LOW,EMAIL,2026-04-03 00:00:00,2026-03-28 00:00:00,,False,False,False,False,False,True,False,False
CBK0002564,TXN00013473,USR78994,MCH2383,2485.28,Customer Dispute,CUSTOMER_DISPUTE,Customer says amount was debited twice.,PENDING_BANK,MEDIUM,CHATBOT,2026-02-26 00:00:00,2026-02-16 02:17:00,2026-03-04 00:00:00,False,False,False,False,False,False,False,False
CBK0000359,TXN00014970,USR35935,MCH3100,3336.7,Account Takeover,ACCOUNT_TAKEOVER,user reports money deducted but merchant denies receiving payment.,IN_PROGRESS,MEDIUM,CHATBOT,2026-02-20 00:00:00,,2026-03-12 18:19:47,False,False,False,False,True,False,False,False
CBK0002003,TXN00015085,USR71636,MCH4256,-956.46,Merchant Not Delivered,SERVICE_NOT_DELIVERED,suspicious high-value payment disputed by customer.,IN_PROGRESS,MEDIUM,APP,2026-01-18 06:11:00,2026-01-16 00:00:00,2026-02-09 00:00:00,False,True,False,False,False,False,False,False
CBK0002463,TXN00014364,USR87498,MCH4089,2489.04,suspicious transaction,FRAUD,Customer says amount was debited twice.,RESOLVED,LOW,CHATBOT,2026-01-21 17:18:16,2026-01-19 00:00:00,2026-02-11 00:00:00,False,False,False,False,False,False,False,False
CBK0001171,TXN00006955,USR26685,MCH3901,1336.86,ATO,ACCOUNT_TAKEOVER,payment made to unknown merchant as per customer statement.,OPEN,LOW,CHATBOT,2026-02-16 16:57:27,,2026-02-19 00:00:00,False,False,False,False,True,False,False,False
CBK0002716,TXN00003119,USR34955,MCH8691,1198.29,suspicious transaction,FRAUD,Payment made to unknown merchant as per customer statement.,CLOSED,LOW,EMAIL,2026-02-24 21:58:58,,,False,False,False,False,True,True,False,False
CBK0001839,TXN00004638,USR67862,MCH8953,1651.94,extra amount deducted,AMOUNT_MISMATCH,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,HIGH,EMAIL,2026-02-12 11:49:00,2026-02-12 09:49:00,2026-02-17 00:00:00,False,False,False,False,False,False,False,False
CBK0002314,TXN00014145,USR21162,MCH2383,3888.0,suspicious transaction,FRAUD,Complaint received after multiple failed attempts.,CLOSED,LOW,IVR,2026-03-10 21:03:16,2026-03-09 00:00:00,2026-04-07 00:00:00,False,False,False,False,False,False,False,False
CBK0000406,TXN00007974,USR33394,MCH3064,4101.89,Wrong Amount,AMOUNT_MISMATCH,user claims account was compromised before transaction.,OPEN,LOW,IVR,2026-03-11 00:00:00,,2026-03-20 06:27:39,False,False,False,False,True,False,False,False
CBK0002718,TXN00013934,USR84084,MCH7370,7727.87,Account Takeover,ACCOUNT_TAKEOVER,User claims account was compromised before transaction.,OPEN,LOW,IVR,2026-03-22 23:15:17,2026-02-20 00:00:00,2026-04-04 00:00:00,False,False,False,False,False,False,False,False
CBK0002400,TXN00015733,USR87357,MCH9878,2313.86,UNAUTHORISED,UNAUTHORIZED,customer complaint text unclear due to poor call center notes.,CLOSED,MEDIUM,IVR,2026-01-25 00:00:00,2026-01-22 00:00:00,2026-02-22 00:00:00,False,False,False,False,False,False,False,False
CBK0002758,,USR60667,MCH2383,1225.29,fraud,FRAUD,payment made to unknown merchant as per customer statement.,IN_PROGRESS,MEDIUM,BRANCH,2026-03-25 00:00:00,2026-03-23 06:19:08,2026-04-13 00:00:00,False,False,True,False,False,False,False,False
CBK0002250,TXN00008645,USR60783,MCH8613,5443.5,Unauthorized Transaction,UNAUTHORIZED,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,CLOSED,HIGH,CALL_CENTER,2026-01-19 00:00:00,2026-01-12 12:57:11,,False,False,False,False,False,True,False,False
CBK0000661,TXN00012553,USR87727,MCH8876,901.62,no service,SERVICE_NOT_DELIVERED,User claims account was compromised before transaction.,RESOLVED,LOW,IVR,2026-01-23 00:00:00,2026-01-21 17:03:00,2026-02-15 06:03:00,False,False,False,False,False,False,False,False
CBK0001020,TXN00084758,USR36590,MCH1368,,Service Not Provided,SERVICE_NOT_DELIVERED,User says UPI PIN was not entered by them.,OPEN,HIGH,IVR,2026-02-26 00:00:00,2026-02-23 00:00:00,2026-03-15 00:00:00,True,False,False,False,False,False,False,False
CBK0002104,TXN00006293,USR48479,MCH8779,2214.27,DUP_DEBIT,DUPLICATE_DEBIT,Complaint received after multiple failed attempts.,REJECTED,LOW,BRANCH,2026-01-19 00:00:00,2026-01-08 00:00:00,,False,False,False,False,False,True,False,False
CBK0002572,TXN00002760,USR49176,MCH2925,1345.79,unauth txn,UNAUTHORIZED,User says UPI PIN was not entered by them.,RESOLVED,LOW,IVR,2026-01-30 00:00:00,2026-01-15 14:26:16,2026-02-09 00:00:00,False,False,False,False,False,False,False,False
CBK0000929,TXN00014710,USR38547,MCH5541,3089.13,Unauthorized Transaction,UNAUTHORIZED,Merchant service was not delivered after payment.,OPEN,MEDIUM,IVR,2026-02-03 12:11:04,2026-01-23 13:11:04,2026-02-04 12:11:00,False,False,False,False,False,False,False,False
CBK0002608,TXN00012654,USR13367,MCH8076,326.32,account hacked,ACCOUNT_TAKEOVER,User claims account was compromised before transaction.,RESOLVED,LOW,APP,,2026-03-29 04:01:37,2026-04-24 19:01:00,False,False,False,True,False,False,False,False
CBK0002430,TXN00019681,USR37650,MCH5655,9661.7,not delivered,SERVICE_NOT_DELIVERED,Customer says amount was debited twice.,RESOLVED,HIGH,IVR,2026-02-04 00:00:00,2026-01-29 00:00:00,2026-02-15 00:00:00,False,False,False,False,False,False,False,False
CBK0002156,TXN00013206,USR11987,MCH6665,26477.69,Customer Dispute,CUSTOMER_DISPUTE,Complaint received after multiple failed attempts.,IN_PROGRESS,HIGH,EMAIL,2026-01-25 04:52:00,2026-01-24 09:52:00,,False,False,False,False,False,True,False,False
CBK0000366,TXN00002078,USR73403,MCH5076,6907.46,extra amount deducted,AMOUNT_MISMATCH,Customer says transaction was not authorized.,CLOSED,LOW,CALL_CENTER,2026-03-04 00:00:00,2026-03-02 18:29:32,,False,False,False,False,False,True,False,False
CBK0000432,TXN00094213,USR96958,MCH7286,-1411.26,unauth txn,UNAUTHORIZED,User reports money deducted but merchant denies receiving payment.,RESOLVED,HIGH,EMAIL,2026-02-01 00:00:00,2026-01-29 00:00:00,2026-02-02 00:00:00,False,True,False,False,False,False,False,False
CBK0001972,TXN00001376,USR12133,MCH6555,1261.15,item not received,SERVICE_NOT_DELIVERED,Merchant service was not delivered after payment.,CLOSED,MEDIUM,CHATBOT,2026-02-06 04:24:08,2026-02-01 02:24:08,,False,False,False,False,False,True,False,False
CBK0001250,TXN00015587,USR11697,MCH8741,11364.57,no service,SERVICE_NOT_DELIVERED,Complaint received after multiple failed attempts.,PENDING_BANK,LOW,APP,2026-02-05 00:00:00,2026-02-02 00:00:00,,False,False,False,False,False,True,False,False
CBK0001283,TXN00002013,USR31545,MCH5974,439.0,unauth txn,UNAUTHORIZED,Suspicious high-value payment disputed by customer.,REJECTED,MEDIUM,CALL_CENTER,2026-03-04 02:59:29,,2026-03-28 00:00:00,False,False,False,False,True,False,False,False
CBK0000973,TXN00016040,USR25345,MCH3851,3127.0,unauth txn,UNAUTHORIZED,Complaint received after multiple failed attempts.,PENDING_BANK,LOW,IVR,2026-02-06 00:00:00,2026-02-04 00:00:00,2026-03-07 00:00:00,False,False,False,False,False,False,False,False
CBK0000578,TXN00006468,USR71457,MCH6810,7884.04,UNAUTHORISED,UNAUTHORIZED,Suspicious high-value payment disputed by customer.,IN_PROGRESS,LOW,IVR,2026-01-11 20:52:43,2026-01-09 11:52:43,2026-01-13 00:00:00,False,False,False,False,False,False,False,False
CBK0001696,TXN00019601,USR19556,MCH5844,9956.85,ATO,ACCOUNT_TAKEOVER,Suspicious high-value payment disputed by customer.,CLOSED,HIGH,CHATBOT,2026-03-09 13:14:00,2026-03-08 00:00:00,2026-04-03 00:00:00,False,False,False,False,False,False,False,False
CBK0002333,TXN00002832,USR10042,MCH1611,8214.17,Account Takeover,ACCOUNT_TAKEOVER,Merchant service was not delivered after payment.,REJECTED,MEDIUM,IVR,2026-03-05 00:00:00,2026-03-02 13:26:00,2026-04-04 00:00:00,False,False,False,False,False,False,False,False
CBK0001122,TXN00015275,USR61052,MCH8979,320.53,not delivered,SERVICE_NOT_DELIVERED,Complaint received after multiple failed attempts.,REJECTED,MEDIUM,IVR,2026-03-13 16:27:48,2026-03-07 00:00:00,2026-04-11 16:27:48,False,False,False,False,False,False,False,False
CBK0000959,TXN00011129,USR50320,MCH6319,4888.42,unauth txn,UNAUTHORIZED,User reports money deducted but merchant denies receiving payment.,CLOSED,MEDIUM,EMAIL,2026-03-09 11:52:00,2026-02-07 00:00:00,,False,False,False,False,False,True,False,False
CBK0001968,,USR46599,MCH1320,2799.09,dispute raised,CUSTOMER_DISPUTE,Customer says amount was debited twice.,PENDING_BANK,MEDIUM,EMAIL,2026-03-23 00:00:00,2026-03-21 00:00:00,2026-04-13 03:36:00,False,False,True,False,False,False,False,False
CBK0001828,TXN00016623,USR59679,MCH8755,818.66,account hacked,ACCOUNT_TAKEOVER,Customer says amount was debited twice. pls check asap,PENDING_BANK,HIGH,BRANCH,2026-01-15 08:21:37,2026-01-05 00:00:00,2026-02-03 08:21:37,False,False,False,False,False,False,False,False
CBK0001654,TXN00012039,USR76792,MCH6492,966.0,extra amount deducted,AMOUNT_MISMATCH,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,HIGH,CALL_CENTER,2026-02-07 05:28:28,2026-02-05 00:00:00,2026-02-22 05:28:00,False,False,False,False,False,False,False,False
CBK0002440,TXN00014010,USR71922,MCH6703,1883.55,unauth txn,UNAUTHORIZED,complaint received after multiple failed attempts.,IN_PROGRESS,HIGH,IVR,2026-02-01 08:39:00,2026-01-31 08:39:15,,False,False,False,False,False,True,False,False
CBK0001278,TXN00008385,USR17657,MCH3542,1944.27,dispute raised,CUSTOMER_DISPUTE,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,RESOLVED,LOW,CHATBOT,2026-04-06 00:00:00,2026-02-20 00:00:00,,False,False,False,False,False,True,False,False
CBK0002370,TXN00001816,USR24664,MCH3992,6501.45,DUP_DEBIT,DUPLICATE_DEBIT,Payment made to unknown merchant as per customer statement.,PENDING_BANK,LOW,CALL_CENTER,2026-03-26 19:41:41,2026-03-25 00:00:00,2026-04-13 00:00:00,False,False,False,False,False,False,False,False
CBK0001105,TXN00019695,USR34180,MCH6310,1782.96,Duplicate Debit,DUPLICATE_DEBIT,User reports money deducted but merchant denies receiving payment.,OPEN,MEDIUM,CHATBOT,,2026-03-04 00:00:00,,False,False,False,True,False,True,False,False
CBK0000180,TXN00019503,USR70812,MCH3936,1537.27,not delivered,SERVICE_NOT_DELIVERED,user claims account was compromised before transaction.,IN_PROGRESS,LOW,BRANCH,2026-01-22 00:00:00,2026-01-18 00:00:00,2026-02-02 00:00:00,False,False,False,False,False,False,False,False
CBK0000369,TXN00008758,USR86274,MCH3418,11352.0,UNAUTHORISED,UNAUTHORIZED,User says UPI PIN was not entered by them.,IN_PROGRESS,MEDIUM,IVR,2026-03-20 15:15:38,2026-03-18 04:15:38,,False,False,False,False,False,True,False,False
CBK0002303,TXN00016593,USR96415,MCH1320,6511.97,Unauthorized Transaction,UNAUTHORIZED,Customer complaint text unclear due to poor call center notes.,RESOLVED,MEDIUM,IVR,2026-01-13 00:00:00,2026-01-11 00:00:00,2026-01-22 01:23:48,False,False,False,False,False,False,False,False
CBK0001525,TXN00004103,USR18453,MCH7793,4864.83,ATO,ACCOUNT_TAKEOVER,User claims account was compromised before transaction.,CLOSED,MEDIUM,EMAIL,2026-01-28 00:00:00,,2026-02-01 00:00:00,False,False,False,False,True,False,False,False
CBK0000316,TXN00016400,USR40842,MCH3815,1616.81,Wrong Amount,AMOUNT_MISMATCH,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,RESOLVED,MEDIUM,CHATBOT,2026-04-18 00:00:00,2026-03-18 00:00:00,2026-05-03 00:00:00,False,False,False,False,False,False,False,False
CBK0001238,TXN00006193,USR35817,MCH7061,26207.56,FRAUD,FRAUD,Customer says amount was debited twice.,IN_PROGRESS,LOW,APP,2026-03-13 00:00:00,2026-03-12 00:00:00,2026-04-10 00:00:00,False,False,False,False,False,False,False,False
CBK0002585,TXN00018187,USR23937,MCH4560,,ATO,ACCOUNT_TAKEOVER,Customer complaint text unclear due to poor call center notes.,RESOLVED,MEDIUM,CHATBOT,2026-03-27 00:00:00,2026-03-24 00:00:00,2026-04-14 14:38:55,True,False,False,False,False,False,False,False
CBK0001427,TXN00019824,USR76289,MCH5563,755.08,no service,SERVICE_NOT_DELIVERED,Suspicious high-value payment disputed by customer.,REJECTED,CRITICAL,EMAIL,2026-02-05 00:00:00,2026-01-06 00:00:00,2026-03-03 08:07:00,False,False,False,False,False,False,False,False
CBK0002514,TXN00001801,USR99493,MCH3992,4455.8,not delivered,SERVICE_NOT_DELIVERED,Customer says transaction was not authorized.,PENDING_BANK,LOW,BRANCH,,2026-03-12 14:53:38,2026-03-19 00:00:00,False,False,False,True,False,False,False,False
CBK0001680,TXN00009645,USR11085,MCH7073,3937.19,not delivered,SERVICE_NOT_DELIVERED,Complaint received after multiple failed attempts.,OPEN,MEDIUM,CHATBOT,2026-02-02 00:00:00,2026-01-31 16:31:00,,False,False,False,False,False,True,False,False
CBK0002041,TXN00015934,USR69637,MCH2240,1508.23,complaint,CUSTOMER_DISPUTE,Customer complaint text unclear due to poor call center notes.,CLOSED,HIGH,CHATBOT,2026-03-24 00:00:00,,2026-04-17 00:00:00,False,False,False,False,True,False,False,False
CBK0002780,TXN00040959,USR75376,MCH4293,823.15,item not received,SERVICE_NOT_DELIVERED,User says UPI PIN was not entered by them.,IN_PROGRESS,HIGH,CHATBOT,2026-03-13 00:00:00,2026-02-26 00:00:00,,False,False,False,False,False,True,False,False
CBK0000294,TXN00019876,USR55690,MCH6739,2134.32,Duplicate Debit,DUPLICATE_DEBIT,CUSTOMER COMPLAINT TEXT UNCLEAR DUE TO POOR CALL CENTER NOTES.,PENDING_BANK,LOW,IVR,,,2026-03-20 23:37:00,False,False,False,True,True,False,False,False
CBK0002617,TXN00016671,USR60544,MCH7838,1587.1,Customer Dispute,CUSTOMER_DISPUTE,User claims account was compromised before transaction.,REJECTED,LOW,CALL_CENTER,2026-02-24 00:00:00,2026-02-09 00:00:00,2026-03-17 23:17:16,False,False,False,False,False,False,False,False
CBK0001175,TXN00061071,USR22543,MCH3116,,customer issue,CUSTOMER_DISPUTE,customer says amount was debited twice.,IN_PROGRESS,CRITICAL,CHATBOT,2026-02-10 00:00:00,2026-02-04 15:43:17,2026-02-22 11:43:00,True,False,False,False,False,False,False,False
CBK0001087,TXN00014733,USR20889,MCH5264,1558.23,merchant service issue,SERVICE_NOT_DELIVERED,Suspicious high-value payment disputed by customer.,IN_PROGRESS,HIGH,CALL_CENTER,2026-02-06 00:00:00,2026-02-06 00:00:00,,False,False,False,False,False,True,False,False
