merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account_last4,merchant_status,declared_avg_ticket_size,mcc_inferred,mcc_missing,ticket_size_negative,ticket_size_missing,settlement_account_missing,onboarding_missing
MCH1041,Pat1a-S0m,5699,APPAREL,PRIVATE_LIMITED,Kolkata,West Bengal,2024-04-21 00:00:00,,ACTIVE,3701.53,True,False,False,False,True,False
MCH1044,"Jha, Salvi and Setty",5311,DEPARTMENT_STORE,PARTNERSHIP,Hyderabad,Telangana,2024-10-28 00:00:00,XXXX6020,ACTIVE,1084.93,False,False,False,False,False,False
MCH1047,Rana-Aurora,4814,TELECOM,PARTNERSHIP,Bengaluru,Karnataka,2023-08-20 01:01:00,XXXX8675,ACTIVE,1003.46,False,False,False,False,False,False
MCH1050,Trivedi-Zachariah,5699,APPAREL,SOLE_PROPRIETOR,Jaipur,Rajasthan,2025-01-30 00:00:00,XXXX9602,ACTIVE,2479.88,False,False,False,False,False,False
MCH1053,"gera, grover and sehgal",4814,TELECOM,INDIVIDUAL,Amritsar,Punjab,2025-02-22 00:00:00,,ACTIVE,-708.11,False,False,True,False,True,False
MCH1054,Cheema Ltd,5311,DEPARTMENT_STORE,PRIVATE_LIMITED,Pune,Maharashtra,2023-05-27 00:00:00,,ACTIVE,868.09,False,False,False,False,True,False
MCH1055,Dhingra-Kapoor,5311,DEPARTMENT_STORE,PARTNERSHIP,Bengaluru,Karnataka,2024-12-30 03:08:34,XXXX6904,ACTIVE,-770.74,False,False,True,False,False,False
MCH1056,Mital-Jhaveri,5311,DEPARTMENT_STORE,PARTNERSHIP,Amritsar,Punjab,2023-09-10 00:09:34,XXXX8589,ACTIVE,5938.05,False,False,False,False,False,False
MCH1058,"Vyas,VirkandDatta",5311,DEPARTMENT_STORE,PARTNERSHIP,Pune,Maharashtra,2023-01-20 00:00:00,XXXX0826,ACTIVE,1504.39,False,False,False,False,False,False
MCH1059,Prasad Ltd,4814,TELECOM,PARTNERSHIP,Hyderabad,Telangana,2023-03-18 00:00:00,XXXX9900,ACTIVE,4187.75,False,False,False,False,False,False
MCH1060,"Subramaniam, Rama and Contractor",4131,TRANSPORT,INDIVIDUAL,Hyderabad,Telangana,2024-05-02 09:00:14,XXXX8468,ACTIVE,480.0,False,False,False,False,False,False
MCH1063,"Samra, Sur and Venkataraman",5999,MISC_RETAIL,PRIVATE_LIMITED,Chennai,Tamil Nadu,2023-06-13 00:00:00,XXXX3551,ACTIVE,1297.7,False,False,False,False,False,False
MCH1064,Nanda Ltd,5812,RESTAURANT,INDIVIDUAL,Amritsar,Punjab,2025-09-09 22:49:04,,ACTIVE,1182.15,False,False,False,False,True,False
MCH1068,Mall-Palan,5999,MISC_RETAIL,SOLE_PROPRIETOR,Jaipur,Rajasthan,2026-02-09 09:23:00,XXXX8422,ACTIVE,663.04,True,False,False,False,False,False
MCH1070,Pandya PLC,5999,MISC_RETAIL,PRIVATE_LIMITED,Chennai,Tamil Nadu,2024-09-03 00:00:00,,ACTIVE,1259.2,False,False,False,False,True,False
MCH1071,"Keer, Roy and Narayanan",5912,PHARMACY,SOLE_PROPRIETOR,Jaipur,Rajasthan,2025-04-17 00:00:00,XXXX5007,ACTIVE,619.21,True,False,False,False,False,False
MCH1072,Kalla-Khalsa,5812,RESTAURANT,PRIVATE_LIMITED,Mumbai,Maharashtra,2025-11-10 00:00:00,,INACTIVE,422.23,False,False,False,False,True,False
MCH1073,"Dasgupta,RayandDara",5912,PHARMACY,PARTNERSHIP,Lucknow,Uttar Pradesh,2024-09-22 00:00:00,XXXX7293,INACTIVE,1002.63,True,False,False,False,False,False
MCH1075,Pingle-Mohan,5912,PHARMACY,SOLE_PROPRIETOR,Ludhiana,Punjab,2025-02-24 00:00:00,XXXX2118,ACTIVE,1639.19,False,False,False,False,False,False
MCH1077,Taneja-Nagar,5411,GROCERY,INDIVIDUAL,Amritsar,Punjab,2026-02-27 00:00:00,XXXX3624,ACTIVE,358.21,False,False,False,False,False,False
MCH1079,Sharaf and Sons,4814,TELECOM,SOLE_PROPRIETOR,Pune,Maharashtra,2023-10-20 00:00:00,,ACTIVE,455.39,True,False,False,False,True,False
MCH1081,Mistry Group,5812,RESTAURANT,PRIVATE_LIMITED,Mumbai,Maharashtra,2025-05-27 00:00:00,XXXX5682,ACTIVE,2299.04,False,False,False,False,False,False
MCH1082,Oommen Inc,7011,HOTEL,PARTNERSHIP,Amritsar,Punjab,,XXXX3820,ACTIVE,833.19,False,False,False,False,False,True
MCH1083,Chaudhry-Bhat,5812,RESTAURANT,SOLE_PROPRIETOR,Jalandhar,Punjab,2025-04-30 00:00:00,XXXX6399,INACTIVE,730.39,False,False,False,False,False,False
MCH1084,Krishnamurthy Inc,5999,MISC_RETAIL,PRIVATE_LIMITED,Jalandhar,Punjab,2025-04-21 00:00:00,XXXX7487,ACTIVE,4469.21,False,False,False,False,False,False
MCH1086,Agrawal-Sule,5699,APPAREL,INDIVIDUAL,Ludhiana,Punjab,2023-11-13 00:00:00,,ACTIVE,1355.59,True,False,False,False,True,False
MCH1087,"Mitter, Sawhney and Luthra",7011,HOTEL,PARTNERSHIP,Chennai,Tamil Nadu,2025-04-19 00:00:00,,INACTIVE,2381.71,False,False,False,False,True,False
MCH1089,RANDHAWA-BARAD,5942,BOOKS_STATIONERY,INDIVIDUAL,Jalandhar,Punjab,2025-06-12 00:00:00,,ACTIVE,8714.78,False,False,False,False,True,False
MCH1093,"dubey, uppal and bhatt",5812,RESTAURANT,PRIVATE_LIMITED,Pune,Maharashtra,2025-04-26 00:00:00,,INACTIVE,4005.67,False,False,False,False,True,False
MCH1095,Mander Group,4814,TELECOM,PARTNERSHIP,Kolkata,West Bengal,2023-01-30 03:08:00,XXXX5510,ACTIVE,1277.94,False,False,False,False,False,False
MCH1096,Subramanian-Prasad,5699,APPAREL,INDIVIDUAL,Hyderabad,Telangana,2025-03-07 02:41:50,,ACTIVE,8373.82,False,False,False,False,True,False
MCH1097,"Narayan, Datta and Chowdhury",5999,MISC_RETAIL,INDIVIDUAL,Lucknow,Uttar Pradesh,2025-05-09 00:00:00,,ACTIVE,343.8,False,False,False,False,True,False
MCH1098,"raval, yadav and yogi",7011,HOTEL,PRIVATE_LIMITED,Jaipur,Rajasthan,2023-12-01 00:00:00,XXXX3614,ACTIVE,181.0,False,False,False,False,False,False
MCH1100,swamy inc,5311,DEPARTMENT_STORE,PARTNERSHIP,Ludhiana,Punjab,2024-08-17 00:00:00,XXXX3237,INACTIVE,2008.22,False,False,False,False,False,False
MCH1101,Mangal Inc,5912,PHARMACY,INDIVIDUAL,Chennai,Tamil Nadu,2023-06-19 00:00:00,XXXX7862,ACTIVE,2025.16,False,False,False,False,False,False
MCH1104,Chander LLC,4814,TELECOM,PRIVATE_LIMITED,Delhi,Delhi,2024-09-05 00:00:00,,ACTIVE,778.62,False,False,False,False,True,False
MCH1106,"Agrawal, Ganguly and Kalla",5411,GROCERY,PRIVATE_LIMITED,Delhi,Delhi,2024-08-25 00:00:00,XXXX5020,ACTIVE,1100.28,False,False,False,False,False,False
MCH1107,Sen-Das,4814,TELECOM,PRIVATE_LIMITED,Chennai,Tamil Nadu,2024-09-16 00:00:00,XXXX1555,ACTIVE,,True,False,False,True,False,False
MCH1109,Solanki Ltd,5311,DEPARTMENT_STORE,PARTNERSHIP,Mumbai,Maharashtra,2023-07-23 00:00:00,XXXX9384,ACTIVE,1262.18,False,False,False,False,False,False
MCH1115,Nadkarni LLC,4131,TRANSPORT,PARTNERSHIP,Jalandhar,Punjab,,,ACTIVE,6943.0,False,False,False,False,True,True
MCH1118,ChokshiInc,4131,TRANSPORT,PARTNERSHIP,Jalandhar,Punjab,2025-07-26 00:00:00,XXXX1304,ACTIVE,590.75,False,False,False,False,False,False
MCH1122,"Rana, Choudhury and Garde",5912,PHARMACY,PARTNERSHIP,Ludhiana,Punjab,2024-11-30 00:00:00,XXXX6047,ACTIVE,4792.92,False,False,False,False,False,False
MCH1124,"Hayre, Chana and Bhasin",5699,APPAREL,SOLE_PROPRIETOR,Jaipur,Rajasthan,2024-05-10 00:00:00,,ACTIVE,843.01,False,False,False,False,True,False
MCH1126,"Nayak, Dhaliwal and Soman",5411,GROCERY,PARTNERSHIP,Jalandhar,Punjab,2026-02-12 00:00:00,,ACTIVE,564.83,False,False,False,False,True,False
MCH1128,Natt-Keer,5999,MISC_RETAIL,SOLE_PROPRIETOR,Hyderabad,Telangana,2026-01-10 12:42:55,XXXX1918,ACTIVE,1028.32,False,False,False,False,False,False
MCH1130,Bhargava-Dara,5311,DEPARTMENT_STORE,INDIVIDUAL,Amritsar,Punjab,2025-06-14 00:00:00,XXXX6086,ACTIVE,2188.62,False,False,False,False,False,False
MCH1132,Cheema Inc,5999,MISC_RETAIL,SOLE_PROPRIETOR,Ludhiana,Punjab,2023-09-10 00:00:00,XXXX7122,ACTIVE,,False,False,False,True,False,False
MCH1133,Shere Ltd,5912,PHARMACY,PARTNERSHIP,Bengaluru,Karnataka,2025-06-10 00:00:00,,ACTIVE,11501.53,False,False,False,False,True,False
MCH1134,"Shenoy, Gokhale and Soman",5411,GROCERY,INDIVIDUAL,Delhi,Delhi,2024-12-11 00:00:00,XXXX5369,ACTIVE,284.86,False,False,False,False,False,False
MCH1136,"bahri, kanda and seth",5942,BOOKS_STATIONERY,PRIVATE_LIMITED,Chennai,Tamil Nadu,2023-07-17 00:00:00,XXXX4885,ACTIVE,896.84,False,False,False,False,False,False
MCH1138,"Shan,BuchandTank",5942,BOOKS_STATIONERY,SOLE_PROPRIETOR,Bengaluru,Karnataka,2024-07-03 21:25:00,XXXX0724,ACTIVE,1369.64,False,False,False,False,False,False
MCH1142,"Master, Soni and Kapadia",4814,TELECOM,SOLE_PROPRIETOR,Chennai,Tamil Nadu,2024-10-06 12:07:57,XXXX1051,ACTIVE,252.13,False,False,False,False,False,False
MCH1143,ARYA-KHANNA,4131,TRANSPORT,SOLE_PROPRIETOR,Jalandhar,Punjab,2023-08-16 00:00:00,XXXX0102,ACTIVE,486.39,False,False,False,False,False,False
MCH1144,Morar-Rattan,5699,APPAREL,SOLE_PROPRIETOR,Jaipur,Rajasthan,2025-01-20 00:00:00,,ACTIVE,1182.28,False,False,False,False,True,False
MCH1147,Dayal-Sabharwal,4814,TELECOM,INDIVIDUAL,Kolkata,West Bengal,2023-11-23 00:00:00,XXXX2380,INACTIVE,939.97,False,False,False,False,False,False
MCH1148,Deep-Manda,4131,TRANSPORT,INDIVIDUAL,Amritsar,Punjab,2025-06-15 00:35:23,,ACTIVE,3461.0,False,False,False,False,True,False
MCH1152,Raman-Choudhury,5411,GROCERY,PARTNERSHIP,Chennai,Tamil Nadu,2025-12-19 00:00:00,XXXX0685,ACTIVE,233.0,True,False,False,False,False,False
MCH1153,"Oommen, Sastry and Varty",5311,DEPARTMENT_STORE,PRIVATE_LIMITED,Amritsar,Punjab,2024-06-17 00:00:00,XXXX3616,ACTIVE,873.51,False,False,False,False,False,False
MCH1154,"oommen, tata and randhawa",7011,HOTEL,PARTNERSHIP,Kolkata,West Bengal,2025-04-18 00:00:00,XXXX6897,ACTIVE,655.3,True,False,False,False,False,False
MCH1155,Sha LLC,4131,TRANSPORT,SOLE_PROPRIETOR,Amritsar,Punjab,2024-03-08 00:00:00,,INACTIVE,1753.08,False,False,False,False,True,False
MCH1159,De Ltd,5942,BOOKS_STATIONERY,INDIVIDUAL,Kolkata,West Bengal,2025-12-05 15:35:26,,ACTIVE,1672.61,False,False,False,False,True,False
MCH1161,"Kuruvilla, Pall and Ravel",5411,GROCERY,PRIVATE_LIMITED,Jalandhar,Punjab,2023-12-29 00:00:00,,ACTIVE,549.82,False,False,False,False,True,False
MCH1162,"Anand, Mistry and Khare",5999,MISC_RETAIL,PRIVATE_LIMITED,Delhi,Delhi,2025-12-02 00:00:00,XXXX2346,ACTIVE,1311.0,False,False,False,False,False,False
MCH1163,"Gour, Comar and Palan",4814,TELECOM,PARTNERSHIP,Ludhiana,Punjab,2025-10-25 00:00:00,XXXX5002,INACTIVE,5449.73,False,False,False,False,False,False
MCH1164,Goda PLC,4131,TRANSPORT,PARTNERSHIP,Ludhiana,Punjab,2025-10-27 00:00:00,,ACTIVE,953.0,False,False,False,False,True,False
MCH1168,"Seshadri, Borah and Sachdeva",5912,PHARMACY,INDIVIDUAL,Pune,Maharashtra,2026-01-04 03:19:25,XXXX5162,ACTIVE,4780.41,True,False,False,False,False,False
MCH1169,Dey-Gupta,5812,RESTAURANT,INDIVIDUAL,Bengaluru,Karnataka,2023-03-17 00:00:00,XXXX3532,ACTIVE,1427.7,False,False,False,False,False,False
MCH1170,"Wali, Bala and Sanghvi",5311,DEPARTMENT_STORE,SOLE_PROPRIETOR,Bengaluru,Karnataka,2023-04-01 15:30:00,,INACTIVE,1109.65,False,False,False,False,True,False
MCH1171,Sampath-Shroff,5912,PHARMACY,PARTNERSHIP,Delhi,Delhi,2026-01-19 05:21:00,,ACTIVE,393.94,False,False,False,False,True,False
MCH1174,Mander-Kari,5411,GROCERY,PARTNERSHIP,Jalandhar,Punjab,2023-05-01 00:00:00,,ACTIVE,1013.97,False,False,False,False,True,False
MCH1177,"Mistry, Savant and Jha",4131,TRANSPORT,SOLE_PROPRIETOR,Amritsar,Punjab,2025-08-29 18:32:00,,ACTIVE,1663.99,False,False,False,False,True,False
MCH1179,Suresh-Chand,5942,BOOKS_STATIONERY,PARTNERSHIP,Chennai,Tamil Nadu,2025-11-19 00:00:00,,ACTIVE,,False,False,False,True,True,False
MCH1180,Sangha and Sons,5411,GROCERY,INDIVIDUAL,Hyderabad,Telangana,2023-11-03 00:00:00,XXXX4983,ACTIVE,993.08,False,False,False,False,False,False
MCH1183,Rajan LLC,5812,RESTAURANT,PRIVATE_LIMITED,Bengaluru,Karnataka,2023-02-02 00:00:00,,ACTIVE,1717.84,False,False,False,False,True,False
MCH1185,"Buch, Barad and Toor",5999,MISC_RETAIL,PARTNERSHIP,Jalandhar,Punjab,2024-06-16 00:00:00,XXXX1490,ACTIVE,2955.34,False,False,False,False,False,False
MCH1188,M0rar Ltd,5912,PHARMACY,INDIVIDUAL,Hyderabad,Telangana,2024-02-19 00:00:00,XXXX1273,ACTIVE,1156.7,False,False,False,False,False,False
MCH1189,"rai, doctor and dar",5699,APPAREL,SOLE_PROPRIETOR,Mumbai,Maharashtra,2024-11-13 20:40:00,XXXX2970,ACTIVE,1513.0,False,False,False,False,False,False
MCH1191,raval ltd,4814,TELECOM,INDIVIDUAL,Kolkata,West Bengal,2023-01-19 00:18:56,,INACTIVE,1670.52,False,False,False,False,True,False
MCH1193,"Padmanabhan, Sekhon and Dhawan",5812,RESTAURANT,PARTNERSHIP,Lucknow,Uttar Pradesh,2025-01-16 00:00:00,,ACTIVE,1712.05,False,False,False,False,True,False
MCH1195,Cherian-Rana,4131,TRANSPORT,SOLE_PROPRIETOR,Jalandhar,Punjab,2025-09-09 00:00:00,,ACTIVE,364.17,False,False,False,False,True,False
MCH1197,"Gaba, Wadhwa and Sahni",5411,GROCERY,PRIVATE_LIMITED,Mumbai,Maharashtra,2024-08-01 00:00:00,XXXX6682,ACTIVE,488.96,False,False,False,False,False,False
MCH1199,Chad-Grewal,5812,RESTAURANT,SOLE_PROPRIETOR,Hyderabad,Telangana,2024-11-22 00:00:00,XXXX8001,ACTIVE,187.18,False,False,False,False,False,False
MCH1200,Vora and Sons,5699,APPAREL,PRIVATE_LIMITED,Pune,Maharashtra,2023-02-08 00:00:00,XXXX0910,ACTIVE,1072.0,True,False,False,False,False,False
MCH1202,KOSHY-BORDE,5311,DEPARTMENT_STORE,PARTNERSHIP,Ludhiana,Punjab,2023-04-27 14:11:10,XXXX6772,ACTIVE,1998.99,False,False,False,False,False,False
MCH1204,Rana Group,5311,DEPARTMENT_STORE,PRIVATE_LIMITED,Jaipur,Rajasthan,2025-05-24 15:30:29,,ACTIVE,733.33,False,False,False,False,True,False
MCH1207,"pillai, oak and barman",5812,RESTAURANT,INDIVIDUAL,Delhi,Delhi,2024-04-11 00:00:00,,ACTIVE,1280.08,False,False,False,False,True,False
MCH1210,"Dua, Buch and Kaul",5942,BOOKS_STATIONERY,PRIVATE_LIMITED,Mumbai,Maharashtra,,XXXX0368,INACTIVE,1903.0,True,False,False,False,False,True
MCH1211,"Munshi, Pai and Sibal",5311,DEPARTMENT_STORE,SOLE_PROPRIETOR,Delhi,Delhi,2023-01-04 00:00:00,XXXX7023,ACTIVE,296.16,False,False,False,False,False,False
MCH1213,Ray LLC,5912,PHARMACY,PARTNERSHIP,Pune,Maharashtra,2024-01-07 18:33:52,XXXX8295,ACTIVE,1556.0,False,False,False,False,False,False
MCH1214,Patel-Bhatti,5311,DEPARTMENT_STORE,INDIVIDUAL,Jalandhar,Punjab,2024-10-05 17:31:40,XXXX0366,ACTIVE,1829.91,False,False,False,False,False,False
MCH1216,Mani Ltd,5999,MISC_RETAIL,SOLE_PROPRIETOR,Amritsar,Punjab,2025-04-05 19:50:02,XXXX4868,ACTIVE,228.0,False,False,False,False,False,False
MCH1219,Buta1a Ltd,5699,APPAREL,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2025-10-23 00:00:00,XXXX0262,ACTIVE,1046.51,False,False,False,False,False,False
MCH1221,Nadig-Ray,5942,BOOKS_STATIONERY,INDIVIDUAL,Delhi,Delhi,2024-12-22 00:00:00,XXXX2315,ACTIVE,618.0,False,False,False,False,False,False
MCH1222,Dass-Dugar,5411,GROCERY,SOLE_PROPRIETOR,Kolkata,West Bengal,2023-11-07 18:19:21,,ACTIVE,,False,False,False,True,True,False
MCH1224,setty-sami,5942,BOOKS_STATIONERY,INDIVIDUAL,Kolkata,West Bengal,2023-09-02 05:59:00,XXXX4027,ACTIVE,609.48,False,False,False,False,False,False
MCH1226,"APTE, PINGLE AND PAL",7011,HOTEL,PRIVATE_LIMITED,Hyderabad,Telangana,2024-01-03 00:00:00,,ACTIVE,2290.0,True,False,False,False,True,False
MCH1227,"Madan, More and Pal",5411,GROCERY,SOLE_PROPRIETOR,Hyderabad,Telangana,2025-12-08 00:01:00,XXXX3962,ACTIVE,1078.83,False,False,False,False,False,False
MCH1229,"Sen, Dewan and Tripathi",5942,BOOKS_STATIONERY,PRIVATE_LIMITED,Amritsar,Punjab,2025-02-19 00:00:00,XXXX5791,ACTIVE,2028.74,False,False,False,False,False,False
MCH1233,"Upadhyay, Lall and Kala",5942,BOOKS_STATIONERY,PRIVATE_LIMITED,Pune,Maharashtra,2024-07-19 00:00:00,,ACTIVE,-1465.98,False,False,True,False,True,False
MCH1234,"Shah, Pathak and Bera",7011,HOTEL,PARTNERSHIP,Jaipur,Rajasthan,2025-10-06 00:00:00,,ACTIVE,354.58,True,False,False,False,True,False
MCH1237,Agarwal-Kibe,7011,HOTEL,PARTNERSHIP,Mumbai,Maharashtra,2023-03-30 00:00:00,XXXX8784,ACTIVE,750.84,False,False,False,False,False,False
MCH1243,"Buch, Atwal and Roy",5912,PHARMACY,PARTNERSHIP,Ludhiana,Punjab,2025-06-12 08:43:00,,ACTIVE,1323.94,False,False,False,False,True,False
MCH1245,"Kumer, Varghese and Dhawan",5912,PHARMACY,PARTNERSHIP,Pune,Maharashtra,2023-08-23 00:00:00,,ACTIVE,725.32,True,False,False,False,True,False
MCH1247,"Nayak, Lala and Pillai",5411,GROCERY,SOLE_PROPRIETOR,Bengaluru,Karnataka,2023-01-19 00:00:00,XXXX7765,INACTIVE,677.02,False,False,False,False,False,False
MCH1249,"Garg, Saha and Rattan",5999,MISC_RETAIL,PARTNERSHIP,Jalandhar,Punjab,2023-08-21 00:00:00,,ACTIVE,-854.43,False,False,True,False,True,False
MCH1250,BHARDWAJ-WABLE,4131,TRANSPORT,PRIVATE_LIMITED,Pune,Maharashtra,2025-11-04 10:39:00,,ACTIVE,515.0,False,False,False,False,True,False
MCH1254,Pant-Muni,4131,TRANSPORT,PARTNERSHIP,Delhi,Delhi,2023-10-21 00:00:00,,ACTIVE,781.27,False,False,False,False,True,False
MCH1255,La1a and S0ns,4814,TELECOM,PARTNERSHIP,Kolkata,West Bengal,2023-07-19 00:00:00,XXXX2943,INACTIVE,772.22,False,False,False,False,False,False
MCH1256,Vala Inc,5912,PHARMACY,SOLE_PROPRIETOR,Kolkata,West Bengal,2025-01-17 00:00:00,,INACTIVE,1415.24,False,False,False,False,True,False
MCH1257,Varma-Maharaj,5942,BOOKS_STATIONERY,SOLE_PROPRIETOR,Kolkata,West Bengal,2023-04-15 16:16:00,XXXX1302,ACTIVE,3059.27,False,False,False,False,False,False
MCH1259,"Wagle, Verma and Ramanathan",5912,PHARMACY,PRIVATE_LIMITED,Jaipur,Rajasthan,2025-08-12 00:00:00,,ACTIVE,548.2,True,False,False,False,True,False
MCH1260,KOTHARI-NADKARNI,5699,APPAREL,PRIVATE_LIMITED,Lucknow,Uttar Pradesh,2026-01-15 00:00:00,XXXX4093,ACTIVE,2375.4,False,False,False,False,False,False
MCH1261,"Cheema, Savant and Bakshi",5311,DEPARTMENT_STORE,SOLE_PROPRIETOR,Ludhiana,Punjab,2024-06-03 00:00:00,XXXX5867,INACTIVE,,False,False,False,True,False,False
MCH1262,Lad and Sons,7011,HOTEL,INDIVIDUAL,Jalandhar,Punjab,2025-11-17 01:26:45,XXXX6412,ACTIVE,503.65,False,False,False,False,False,False
MCH1263,Memon-Choudhary,5912,PHARMACY,PRIVATE_LIMITED,Hyderabad,Telangana,2025-11-27 22:51:46,,ACTIVE,1888.17,False,False,False,False,True,False
MCH1267,master-tiwari,4814,TELECOM,PRIVATE_LIMITED,Lucknow,Uttar Pradesh,,,INACTIVE,1213.17,False,False,False,False,True,True
MCH1268,Vyas Ltd,5311,DEPARTMENT_STORE,INDIVIDUAL,Amritsar,Punjab,2023-06-28 00:00:00,,ACTIVE,,False,False,False,True,True,False
MCH1269,SHUKLA PLC,5699,APPAREL,INDIVIDUAL,Hyderabad,Telangana,2025-03-03 19:00:09,,ACTIVE,1758.28,False,False,False,False,True,False
MCH1270,Tiwari and Sons,5311,DEPARTMENT_STORE,PRIVATE_LIMITED,Hyderabad,Telangana,2023-06-02 14:56:50,,ACTIVE,1107.02,False,False,False,False,True,False
MCH1272,Garg Inc,4131,TRANSPORT,PARTNERSHIP,Jaipur,Rajasthan,2023-05-28 22:37:00,XXXX7450,ACTIVE,549.87,False,False,False,False,False,False
MCH1275,Kata Group,7011,HOTEL,PARTNERSHIP,Lucknow,Uttar Pradesh,2025-09-11 07:33:00,XXXX0284,ACTIVE,252.53,False,False,False,False,False,False
MCH1277,Bhatnagar-Borah,5812,RESTAURANT,INDIVIDUAL,Kolkata,West Bengal,,XXXX3586,ACTIVE,3540.87,False,False,False,False,False,True
MCH1280,"Ben, Madan and Dey",5942,BOOKS_STATIONERY,PRIVATE_LIMITED,Lucknow,Uttar Pradesh,2025-06-13 00:00:00,,ACTIVE,1308.81,False,False,False,False,True,False
MCH1285,hayer plc,5912,PHARMACY,INDIVIDUAL,Bengaluru,Karnataka,2023-09-24 07:15:32,,ACTIVE,436.7,False,False,False,False,True,False
MCH1288,"jain, loke and zacharia",4131,TRANSPORT,SOLE_PROPRIETOR,Bengaluru,Karnataka,2023-07-17 08:08:00,XXXX2041,ACTIVE,915.81,False,False,False,False,False,False
